rCut Vs Percentages	Au38_Au38_original_Au38_twist_[1,1,1]_axis_10_degrees_oneFace_rCut_2.884_4.0786-0.0005_CNA_tolerance_0
2.973	63.1578947368
2.9735	63.1578947368
2.974	63.1578947368
2.9745	63.1578947368
2.975	63.1578947368
2.9755	63.1578947368
2.976	63.1578947368
2.9765	63.1578947368
2.977	63.1578947368
2.9775	63.1578947368
2.978	63.1578947368
2.9785	63.1578947368
2.979	63.1578947368
2.9795	63.1578947368
2.98	63.1578947368
2.9805	63.1578947368
2.981	63.1578947368
2.9815	63.1578947368
2.982	63.1578947368
2.9825	63.1578947368
2.983	63.1578947368
2.9835	63.1578947368
2.984	63.1578947368
2.9845	63.1578947368
2.985	63.1578947368
2.9855	63.1578947368
2.986	63.1578947368
2.9865	63.1578947368
2.987	63.1578947368
2.9875	63.1578947368
2.988	63.1578947368
2.9885	63.1578947368
2.989	63.1578947368
2.9895	63.1578947368
2.99	63.1578947368
2.9905	63.1578947368
2.991	63.1578947368
2.9915	63.1578947368
2.992	63.1578947368
2.9925	63.1578947368
2.993	63.1578947368
2.9935	63.1578947368
2.994	63.1578947368
2.9945	63.1578947368
2.995	63.1578947368
2.9955	63.1578947368
2.996	63.1578947368
2.9965	63.1578947368
2.997	63.1578947368
2.9975	63.1578947368
2.998	63.1578947368
2.9985	63.1578947368
2.999	63.1578947368
2.9995	63.1578947368
3.0	63.1578947368
3.0005	63.1578947368
3.001	63.1578947368
3.0015	63.1578947368
3.002	63.1578947368
3.0025	63.1578947368
3.003	63.1578947368
3.0035	63.1578947368
3.004	63.1578947368
3.0045	63.1578947368
3.005	63.1578947368
3.0055	63.1578947368
3.006	63.1578947368
3.0065	63.1578947368
3.007	63.1578947368
3.0075	63.1578947368
3.008	63.1578947368
3.0085	63.1578947368
3.009	63.1578947368
3.0095	63.1578947368
3.01	63.1578947368
3.0105	63.1578947368
3.011	63.1578947368
3.0115	63.1578947368
3.012	63.1578947368
3.0125	63.1578947368
3.013	63.1578947368
3.0135	63.1578947368
3.014	63.1578947368
3.0145	63.1578947368
3.015	63.1578947368
3.0155	63.1578947368
3.016	63.1578947368
3.0165	63.1578947368
3.017	63.1578947368
3.0175	63.1578947368
3.018	63.1578947368
3.0185	63.1578947368
3.019	63.1578947368
3.0195	63.1578947368
3.02	63.1578947368
3.0205	63.1578947368
3.021	63.1578947368
3.0215	63.1578947368
3.022	63.1578947368
3.0225	63.1578947368
3.023	63.1578947368
3.0235	63.1578947368
3.024	63.1578947368
3.0245	63.1578947368
3.025	63.1578947368
3.0255	63.1578947368
3.026	63.1578947368
3.0265	63.1578947368
3.027	63.1578947368
3.0275	63.1578947368
3.028	63.1578947368
3.0285	63.1578947368
3.029	63.1578947368
3.0295	63.1578947368
3.03	63.1578947368
3.0305	63.1578947368
3.031	63.1578947368
3.0315	63.1578947368
3.032	63.1578947368
3.0325	63.1578947368
3.033	63.1578947368
3.0335	63.1578947368
3.034	63.1578947368
3.0345	63.1578947368
3.035	63.1578947368
3.0355	63.1578947368
3.036	63.1578947368
3.0365	63.1578947368
3.037	63.1578947368
3.0375	63.1578947368
3.038	63.1578947368
3.0385	63.1578947368
3.039	63.1578947368
3.0395	63.1578947368
3.04	63.1578947368
3.0405	63.1578947368
3.041	63.1578947368
3.0415	63.1578947368
3.042	63.1578947368
3.0425	63.1578947368
3.043	63.1578947368
3.0435	63.1578947368
3.044	63.1578947368
3.0445	63.1578947368
3.045	63.1578947368
3.0455	63.1578947368
3.046	63.1578947368
3.0465	63.1578947368
3.047	74.0740740741
3.0475	74.0740740741
3.048	74.0740740741
3.0485	74.0740740741
3.049	74.0740740741
3.0495	74.0740740741
3.05	74.0740740741
3.0505	74.0740740741
3.051	74.0740740741
3.0515	74.0740740741
3.052	74.0740740741
3.0525	74.0740740741
3.053	74.0740740741
3.0535	74.0740740741
3.054	74.0740740741
3.0545	74.0740740741
3.055	74.0740740741
3.0555	74.0740740741
3.056	74.0740740741
3.0565	74.0740740741
3.057	74.0740740741
3.0575	74.0740740741
3.058	74.0740740741
3.0585	74.0740740741
3.059	74.0740740741
3.0595	74.0740740741
3.06	74.0740740741
3.0605	74.0740740741
3.061	74.0740740741
3.0615	74.0740740741
3.062	74.0740740741
3.0625	74.0740740741
3.063	74.0740740741
3.0635	74.0740740741
3.064	74.0740740741
3.0645	74.0740740741
3.065	74.0740740741
3.0655	74.0740740741
