rCut Vs Percentages	Au38_Au38_original_Au38_twist_[1,1,1]_axis_10_degrees_rCut_2.884_4.0786-0.0005_CNA_tolerance_0
2.9735	10.2564102564
2.974	10.2564102564
2.9745	10.2564102564
2.975	10.2564102564
2.9755	10.2564102564
2.976	10.2564102564
2.9765	10.2564102564
2.977	10.2564102564
2.9775	10.2564102564
2.978	10.2564102564
2.9785	10.2564102564
2.979	10.2564102564
2.9795	10.2564102564
2.98	10.2564102564
2.9805	10.2564102564
2.981	10.2564102564
2.9815	10.2564102564
2.982	10.2564102564
2.9825	10.2564102564
2.983	10.2564102564
2.9835	22.5352112676
2.984	22.5352112676
2.9845	22.5352112676
2.985	22.5352112676
2.9855	22.5352112676
2.986	22.5352112676
2.9865	22.5352112676
2.987	22.5352112676
2.9875	22.5352112676
2.988	22.5352112676
2.9885	22.5352112676
2.989	22.5352112676
2.9895	22.5352112676
2.99	32.8358208955
2.9905	32.8358208955
2.991	32.8358208955
2.9915	32.8358208955
2.992	32.8358208955
2.9925	32.8358208955
2.993	32.8358208955
2.9935	32.8358208955
2.994	32.8358208955
2.9945	32.8358208955
2.995	32.8358208955
2.9955	32.8358208955
2.996	32.8358208955
2.9965	32.8358208955
2.997	32.8358208955
2.9975	32.8358208955
2.998	32.8358208955
2.9985	32.8358208955
2.999	32.8358208955
2.9995	32.8358208955
3.0	32.8358208955
3.0005	32.8358208955
3.001	32.8358208955
3.0015	32.8358208955
3.002	32.8358208955
3.0025	32.8358208955
3.003	32.8358208955
3.0035	32.8358208955
3.004	32.8358208955
3.0045	32.8358208955
3.005	32.8358208955
3.0055	32.8358208955
3.006	32.8358208955
3.0065	32.8358208955
3.007	32.8358208955
3.0075	32.8358208955
3.008	32.8358208955
3.0085	49.1803278689
3.009	49.1803278689
3.0095	49.1803278689
3.01	49.1803278689
3.0105	49.1803278689
3.011	49.1803278689
3.0115	49.1803278689
3.012	49.1803278689
3.0125	49.1803278689
3.013	49.1803278689
3.0135	49.1803278689
3.014	49.1803278689
3.0145	49.1803278689
3.015	49.1803278689
3.0155	49.1803278689
3.016	49.1803278689
3.0165	49.1803278689
3.017	49.1803278689
3.0175	49.1803278689
3.018	49.1803278689
3.0185	49.1803278689
3.019	49.1803278689
3.0195	49.1803278689
3.02	49.1803278689
3.0205	49.1803278689
3.021	49.1803278689
3.0215	49.1803278689
3.022	49.1803278689
3.0225	49.1803278689
3.023	49.1803278689
3.0235	49.1803278689
3.024	49.1803278689
3.0245	49.1803278689
3.025	49.1803278689
3.0255	49.1803278689
3.026	49.1803278689
3.0265	49.1803278689
3.027	49.1803278689
3.0275	49.1803278689
3.028	49.1803278689
3.0285	49.1803278689
3.029	49.1803278689
3.0295	49.1803278689
3.03	49.1803278689
3.0305	49.1803278689
3.031	49.1803278689
3.0315	49.1803278689
3.032	49.1803278689
3.0325	49.1803278689
3.033	49.1803278689
3.0335	49.1803278689
3.034	49.1803278689
3.0345	49.1803278689
3.035	49.1803278689
3.0355	49.1803278689
3.036	49.1803278689
3.0365	49.1803278689
3.037	49.1803278689
3.0375	49.1803278689
3.038	49.1803278689
3.0385	49.1803278689
3.039	49.1803278689
3.0395	49.1803278689
3.04	49.1803278689
3.0405	49.1803278689
3.041	49.1803278689
3.0415	49.1803278689
3.042	49.1803278689
3.0425	49.1803278689
3.043	49.1803278689
3.0435	49.1803278689
3.044	49.1803278689
3.0445	49.1803278689
3.045	49.1803278689
3.0455	49.1803278689
3.046	49.1803278689
3.0465	49.1803278689
3.047	49.1803278689
3.0475	49.1803278689
3.048	49.1803278689
3.0485	49.1803278689
3.049	49.1803278689
3.0495	49.1803278689
3.05	49.1803278689
3.0505	49.1803278689
3.051	49.1803278689
3.0515	49.1803278689
3.052	49.1803278689
3.0525	49.1803278689
3.053	49.1803278689
3.0535	49.1803278689
3.054	49.1803278689
3.0545	49.1803278689
3.055	49.1803278689
3.0555	49.1803278689
3.056	49.1803278689
3.0565	49.1803278689
3.057	49.1803278689
3.0575	49.1803278689
3.058	49.1803278689
3.0585	49.1803278689
3.059	49.1803278689
3.0595	49.1803278689
3.06	49.1803278689
3.0605	49.1803278689
3.061	49.1803278689
3.0615	49.1803278689
3.062	49.1803278689
3.0625	49.1803278689
3.063	49.1803278689
3.0635	49.1803278689
3.064	49.1803278689
3.0645	49.1803278689
3.065	49.1803278689
3.0655	49.1803278689
3.066	49.1803278689
